# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1251a1d73233e587
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1251fbb49ecef520,memcpyHtoD,13399.4,13735.8,,,,,,,,,,,0,0,28311552,0
1251fbb49fa593c0,memset32,482.656,24.161,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,29838,0,0,5150,0,60658,0,0,188,0,0,582006,0,580530,0,29910,30876,988032,0,12086552,336145,0,0,1782552,16016,1782552,0,0,18513948,16256,1782552
1251fbb49facf700,_Z15convert_input_kPfjPKtjji10vcd_params,2075.46,6.366,0.667,73,193,1,64,16,1,4096,0,9,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,0,0,15020,29784,29816,30040,940,0,105100,0,0,192,0,0,1410855,15004,1365700,0,29880,30080,962560,29688,39908664,1242433,900528,0,1782552,964510,1782552,0,0,43603984,963467,1782552
1251fbb49fd96960,memset32,466.144,7.073,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,29508,0,0,4931,0,58932,0,0,0,0,0,563059,0,561792,0,29568,29544,945408,0,11895697,323352,0,0,1769472,15417,1769472,0,0,17962752,15629,1769472
1251fbb49fe08f80,memset32,464.736,3.675,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,0,0,0,29520,0,0,4913,0,59088,0,0,0,0,0,563368,0,559626,0,29454,29556,945792,0,11931280,322949,0,0,1769472,12412,1769472,0,0,17966400,13047,1769472
1251fbb49fe7af60,memset32,462.656,3.717,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,29538,0,0,4910,0,58968,0,0,0,0,0,562594,0,559854,0,29466,29568,946176,0,11910199,323219,0,0,1769472,15475,1769472,0,0,17953632,14368,1769472
1251fbb49feec480,memset32,247.52,5.187,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,14966,0,0,2674,0,31126,0,0,207,0,0,298395,0,297579,0,15141,15996,511872,0,6013228,172017,0,0,888964,8313,888964,0,0,9478310,8404,888964
1251fbb49ff29700,memset32,245.792,4.123,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,14938,0,0,2677,0,31103,0,0,190,0,0,298775,0,298319,0,15041,16026,512832,0,5995356,172504,0,0,888964,6571,888964,0,0,9478648,8263,888964
1251fbb49ff65dc0,memset32,247.36,3.521,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,164803000,40239480,0,0,0,164803000,40239480,0,0,0,0,0,0,14940,0,0,2665,0,31035,0,0,184,0,0,298280,0,297170,0,14990,16056,513792,0,6060483,171823,0,0,888964,8259,888964,0,0,9468718,8207,888964
1251fbb49ffa2a80,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6273.28,5.867,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,0,0,18870592,0,0,0,0,21279768,0,0,0,0,55676,44928,178428,100488,940,0,712288,0,0,49296,0,3159,6705488,53133,6635624,0,44880,15056,481792,44220,138557699,4388334,3220332,0,2666892,2145227,2666892,0,0,196878672,2135463,2666892
