# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cf5013eecb8
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,l1_shared_bank_conflict
12592d0dd9eb37a0,memcpyHtoD,13694.9,14060.9,,,,,,,,,,,0,0,28311552,0
12592d0ddac317a0,memset32,482.944,18.189,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddaca81c0,_Z15convert_input_kPfjPKtjji10vcd_params,913.312,5.19,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,0
12592d0ddae55be0,memset32,465.856,5.671,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddaec8140,memset32,462.56,3.687,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddaf395e0,memset32,462.496,3.272,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddafaaa60,memset32,247.68,5.208,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddafe77c0,memset32,247.392,3.593,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddb024400,memset32,247.456,3.458,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddb061660,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6271.39,5.07,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,44460
12592d0ddb692060,_Z13calculate_e_kPijPfjj10vcd_paramsi,8042.27,5.623,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,14752
12592d0ddbe88f40,memset32,127.104,5.359,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddbea85c0,memset32,126.304,3.542,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddbec7900,memset32,126.112,3.726,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddbee6e80,memset32,126.048,3.551,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddbf063e0,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1571.68,6.149,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,0
12592d0ddc086720,memset32,126.624,5.644,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddc0a5b80,memset32,125.888,3.545,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0
12592d0ddc0c52e0,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_S1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,20764.6,5.41,0.667,72,192,1,32,16,1,18432,0,29,0,-1,,0,0
12592d0ddd4b1480,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1363.65,5.455,0.333,1,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddd604fc0,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1351.46,4.282,0.667,2,1,1,32,16,1,21200,0,32,0,-1,,0,0
12592d0ddd755c20,_Z23interpolate_g_dg_neg_k2PfjS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1351.65,4.258,0.667,3,1,1,32,16,1,21200,0,32,0,-1,,0,0
