# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12571119bdab381e
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12583db1943a3920,memcpyHtoD,13461.3,13865.6,,,,,,,,,,,0,0,28311552,0
12583db1950f8060,memset32,482.912,15.411,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,60682,5141,0,214
12583db19516eb20,_Z15convert_input_kPfjPKtjji10vcd_params,912.64,4.959,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,59968,940,0,0
12583db195313d80,memset32,465.472,5.867,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,59136,4928,0,0
12583db1953861c0,memset32,462.368,3.545,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,59040,4920,0,0
12583db1953f75e0,memset32,462.88,3.275,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,59172,4931,0,0
12583db195468c60,memset32,247.68,5.346,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,31083,2679,0,236
12583db1954a59a0,memset32,247.136,3.741,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,31128,2674,0,221
12583db1954e2500,memset32,247.424,3.239,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,31007,2666,0,202
12583db19551f780,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6261.12,10.446,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,0,0,18870592,0,0,0,0,21279768,0,0,710828,941,44400,49508
12583db195b47340,_Z13calculate_e_kPijPfjj10vcd_paramsi,8039.04,5.44,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,0,0,19906560,0,0,0,0,7077888,0,0,907096,922,14752,30618
12583db19633d6a0,memset32,126.944,5.362,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,19906560,0,0,0,0,7077888,0,0,15850,1337,0,0
12583db19635cc80,memset32,126.112,3.575,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,15800,1334,0,0
12583db19637bf60,memset32,126.048,3.329,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15766,1328,0,0
12583db19639b420,memset32,126.112,3.221,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15900,1343,0,0
12583db1963ba920,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1570.18,6.071,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,0,0,14248080,0,0,0,0,14248080,0,0,105088,939,0,192
12583db19653a6a0,memset32,126.688,5.536,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15924,1341,0,0
12583db196559be0,memset32,126.016,3.837,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,18870592,0,0,0,0,21279768,0,0,15874,1339,0,0
12583db196579440,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_S1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,21587.3,5.211,0.667,72,192,1,32,16,1,18432,0,29,0,-1,,0,0,0,33880320,0,0,0,0,17694720,0,0,3098000,922,0,253008
12583db1992fdac0,memset32,129.12,7.539,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,19906560,0,0,0,0,7077888,0,0,15870,1341,0,0
12583db19931db80,memset32,126.816,3.744,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,15834,1334,0,0
12583db19933d3c0,memset32,125.952,3.509,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15860,1338,0,0
12583db19935c5e0,memset32,125.888,3.263,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15816,1334,0,0
12583db19937b780,memset32,126.112,4.998,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,0,0,14248080,0,0,0,0,14248080,0,0,15802,1334,0,0
12583db19939aa40,memset32,126.24,3.545,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,275820848,40436088,0,0,0,275820848,40436088,0,0,0,15802,1335,0,0
12583db1993b9da0,memset32,923.968,5.121,1,48,3072,1,192,1,1,0,0,4,0,-1,,0,0,0,18870592,0,0,0,0,21279768,0,0,118008,9834,0,0
12583db19949c320,_Z16convert_output_kPtjPKfS1_S1_jj10vcd_params,2016.86,5.368,1,144,192,1,32,16,1,8192,0,10,0,-1,,0,0,0,42467328,0,0,0,0,28311552,0,0,148560,1857,59424,0
12583db19993cd80,memcpyDtoH,62480.4,63108.7,,,,,,,,,,,0,0,113246208,0
