# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12571119cd0f2576
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12583f6eb714f400,memcpyHtoD,13997.1,14618.1,,,,,,,,,,,0,0,28311552,0
12583f6eb7f44080,memset32,482.72,16.22,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,60755,5140,0,187
12583f6eb7fbaa00,_Z15convert_input_kPfjPKtjji10vcd_params,913.6,5.097,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,59916,939,0,0
12583f6eb8166020,memset32,465.984,5.548,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,59004,4917,0,0
12583f6eb81d84a0,memset32,462.88,3.663,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,58968,4914,0,0
12583f6eb8249ba0,memset32,462.656,3.657,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,59088,4924,0,0
12583f6eb82bb0c0,memset32,247.648,6.243,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,30979,2667,0,201
12583f6eb82f7e40,memset32,246.944,3.569,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,30984,2667,0,195
12583f6eb8334980,memset32,247.296,3.476,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,31108,2674,0,196
12583f6eb8371c20,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6274.08,5.262,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,707804,937,44208,49244
12583f6eb899a840,_Z13calculate_e_kPijPfjj10vcd_paramsi,8032.29,5.404,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,908080,923,14768,30531
12583f6eb91995c0,memset32,127.104,5.632,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15898,1341,0,0
12583f6eb91b8c20,memset32,126.048,3.711,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15864,1339,0,0
12583f6eb91d7ea0,memset32,126.048,3.389,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15838,1336,0,0
12583f6eb91f73a0,memset32,126.208,3.377,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15920,1344,0,0
12583f6eb9216900,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1569.6,6.348,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,105200,940,0,208
12583f6eb93964e0,memset32,126.624,6.08,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15930,1346,0,0
12583f6eb93b59a0,memset32,125.888,3.72,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15860,1338,0,0
12583f6eb93d5180,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,15244.7,5.374,0.667,72,96,1,32,16,1,9216,0,32,0,-1,,0,1976160,460,0,206976
12583f6eba638ce0,memset32,128.32,5.644,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15922,1346,0,0
12583f6eba658a60,memset32,126.56,3.527,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15878,1342,0,0
12583f6eba678180,memset32,125.856,3.735,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15898,1344,0,0
12583f6eba697600,memset32,125.824,3.326,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15934,1346,0,0
12583f6eba6b6740,memset32,125.984,4.895,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15896,1339,0,0
12583f6eba6d59c0,memset32,125.984,3.404,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15866,1339,0,0
12583f6eba6f4c00,memset32,924.768,5.094,1,48,3072,1,192,1,1,0,0,4,0,-1,,0,118068,9839,0,0
12583f6eba7d7480,_Z16convert_output_kPtjPKfS1_S1_jj10vcd_params,2019.62,4.95,1,144,192,1,32,16,1,8192,0,10,0,-1,,0,146560,1832,58624,0
12583f6ebac7c3a0,memcpyDtoH,62522.8,63375.1,,,,,,,,,,,0,0,113246208,0
