# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12571119ce989e1c
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12583f9b308b0da0,memcpyHtoD,13055.3,13381.6,,,,,,,,,,,0,0,28311552,0
12583f9b315944a0,memset32,482.784,16.797,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,60571,5128,0,215
12583f9b3160c040,_Z15convert_input_kPfjPKtjji10vcd_params,913.792,4.956,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,60028,942,0,0
12583f9b317b9860,memset32,464.576,5.509,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,59064,4922,0,0
12583f9b3182b7c0,memset32,462.944,3.9,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,58968,4914,0,0
12583f9b3189d100,memset32,462.88,3.404,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,58956,4913,0,0
12583f9b3190e700,memset32,247.264,5.422,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,30997,2676,0,207
12583f9b3194b340,memset32,247.424,3.753,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,30989,2672,0,228
12583f9b31987fc0,memset32,247.712,4.432,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,30921,2668,0,218
12583f9b319c53e0,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6276.54,5.368,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,708152,937,44604,49224
12583f9b31fedf40,_Z13calculate_e_kPijPfjj10vcd_paramsi,8039.33,5.554,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,906074,921,14736,30654
12583f9b327e9ca0,memset32,126.912,5.476,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15830,1336,0,0
12583f9b32809220,memset32,126.336,3.654,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15864,1337,0,0
12583f9b32828580,memset32,126.272,3.35,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15858,1337,0,0
12583f9b32847b40,memset32,126.176,3.35,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15864,1338,0,0
12583f9b32867080,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1568.22,6.104,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,105344,941,0,144
12583f9b329e6740,memset32,126.336,5.512,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15840,1337,0,0
12583f9b32a05b00,memset32,125.888,3.648,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15840,1334,0,0
12583f9b32a25340,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,16031.2,5.346,1,72,96,1,32,16,1,9216,0,20,0,-1,,0,1976160,460,0,206528
12583f9b33d33280,memset32,128.224,5.897,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15818,1333,0,0
12583f9b33d52fc0,memset32,127.168,3.608,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15876,1339,0,0
12583f9b33d729c0,memset32,126.144,3.305,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15794,1332,0,0
12583f9b33d91f00,memset32,126.016,3.311,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15934,1345,0,0
12583f9b33db1160,memset32,125.824,5.109,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15822,1336,0,0
12583f9b33dd0300,memset32,126.24,3.398,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15950,1347,0,0
12583f9b33def640,memset32,923.904,4.724,1,48,3072,1,192,1,1,0,0,4,0,-1,,0,118164,9847,0,0
12583f9b33ed1b60,_Z16convert_output_kPtjPKfS1_S1_jj10vcd_params,2019.42,5.298,1,144,192,1,32,16,1,8192,0,10,0,-1,,0,146160,1827,58464,0
12583f9b34356f00,memcpyDtoH,63076.2,63670.4,,,,,,,,,,,0,0,113246208,0
