# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1257111b6672af38
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,sm_cta_launched,l1_shared_bank_conflict,divergent_branch
12586de2c2fa92e0,memcpyHtoD,13361.3,13681.3,,,,,,,,,,,0,0,28311552,0
12586de2c3cd5fa0,memset32,482.944,18.743,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,60682,5146,0,204
12586de2c3d4ca20,_Z15convert_input_kPfjPKtjji10vcd_params,913.344,4.959,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,60028,939,0,0
12586de2c3eed820,memset32,465.472,5.846,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,59184,4932,0,0
12586de2c3f5fc00,memset32,462.816,3.575,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,59196,4933,0,0
12586de2c3fd11c0,memset32,462.336,3.551,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,58968,4914,0,0
12586de2c40425c0,memset32,247.328,5.292,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,31035,2670,0,203
12586de2c407f1c0,memset32,246.976,3.536,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,31065,2670,0,228
12586de2c40bbd00,memset32,246.848,3.335,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,31057,2671,0,240
12586de2c40f8d20,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6273.6,5.22,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,709672,940,43872,49292
12586de2c4720760,_Z13calculate_e_kPijPfjj10vcd_paramsi,8040.8,5.557,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,908004,923,14768,30657
12586de2c4f19b20,memset32,127.008,5.298,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15900,1341,0,0
12586de2c4f39120,memset32,126.112,3.654,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15858,1336,0,0
12586de2c4f583a0,memset32,126.016,3.374,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15926,1345,0,0
12586de2c4f77860,memset32,126.208,3.347,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15802,1333,0,0
12586de2c4f96e60,_Z16separate_input_kPfS_S_S_jPKfjji10vcd_params,1568.9,6.092,1,73,193,1,32,16,1,6144,0,12,0,-1,,0,105216,940,0,160
12586de2c5116760,memset32,126.432,5.599,1,13,1542,1,192,1,1,0,0,4,0,-1,,0,15848,1339,0,0
