# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12550c6bab236157
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,divergent_branch,l1_shared_bank_conflict
125519c94bd291a0,memcpyHtoD,13107,13455.9,,,,,,,,,,,0,0,28311552,0
125519c94ca1c760,memset32,482.752,16.328,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,199,0
125519c94ca93100,_Z15convert_input_kPfjPKtjji10vcd_params,2074.27,5.554,0.667,73,193,1,64,16,1,4096,0,9,0,-1,,0,208,29624
125519c94cd50260,memset32,465.184,5.692,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
125519c94cdc24a0,memset32,462.208,3.684,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
125519c94ce33860,memset32,463.136,3.305,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
125519c94cea4f60,memset32,247.424,5.386,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,204,0
125519c94cee1c40,memset32,246.784,3.789,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,220,0
125519c94cf1e6a0,memset32,247.264,3.978,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,223,0
125519c94cf5b8a0,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6278.3,4.98,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,49452,44376
125519c94d5b3660,_Z13calculate_e_kPijPfjj10vcd_paramsi,7998.85,6.534,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,30585,14752
125519c94ddde5e0,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,29605,5.846,0.667,72,192,1,32,16,1,18432,0,31,0,-1,,0,488308,0
125519c94fa2aee0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1383.2,6.435,0.333,1,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c94fb83780,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1371.78,4.438,0.667,2,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c94fcd8f80,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1372.32,4.375,0.667,3,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c94fe2eb00,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1374.3,4.495,0.667,4,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c94ff848e0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.55,4.186,0.667,5,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c9500dad00,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.52,4.15,0.667,6,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950231a00,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.42,4.336,0.667,7,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950387cc0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.2,4.159,0.667,8,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c9504de700,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.81,4.369,0.667,9,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950634c60,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.78,4.053,0.667,10,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c95078b260,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1375.9,4.372,0.667,11,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c9508e1a40,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1377.73,4.264,0.667,12,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950a386e0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1379.04,4.005,0.667,13,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950b8f860,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1381.09,4.183,0.667,14,1,1,32,16,1,21200,0,32,1,-1,,0,420,0
125519c950ceb0c0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1431.26,9.367,0.667,15,1,1,32,16,1,21200,0,32,1,-1,,0,856,0
125519c950e4ee80,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1428.03,4.366,0.667,16,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c950fef120,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1438.98,4.895,0.667,17,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c951154e00,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1434.78,4.261,0.667,18,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c9512b9b40,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1443.23,4.318,0.667,19,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c951420780,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1443.87,4.342,0.667,20,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c9515876c0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1440.83,4.062,0.667,21,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c9516ede80,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1440.03,4.177,0.667,22,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c951853e20,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1441.09,4.068,0.667,23,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c9519ba180,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1442.82,4.084,0.667,24,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
125519c951b21320,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1438.98,4.219,0.667,25,1,1,32,16,1,21200,0,32,1,-1,,0,858,0
