# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12550c6bc54cc60b
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,divergent_branch,l1_shared_bank_conflict
12551ca60af45d80,memcpyHtoD,13372.4,13707.4,,,,,,,,,,,0,0,28311552,0
12551ca60bc77f80,memset32,482.656,16.193,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,197,0
12551ca60bcee920,_Z15convert_input_kPfjPKtjji10vcd_params,2075.04,5.626,0.667,73,193,1,64,16,1,4096,0,9,0,-1,,0,188,29664
12551ca60bfa17c0,memset32,465.728,5.605,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
12551ca60c013ca0,memset32,462.368,3.99,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
12551ca60c085140,memset32,462.784,3.422,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0
12551ca60c0f6720,memset32,247.712,5.328,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,202,0
12551ca60c133520,memset32,246.944,3.626,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,170,0
12551ca60c170000,memset32,247.232,4.159,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,203,0
12551ca60c1ad1e0,_Z22calculate_temp_green_kPfjS_S_S_jj10vcd_paramsi,6264.06,4.962,0.667,73,193,1,32,16,1,7680,0,23,0,-1,,0,49136,44400
12551ca60c7d3220,_Z13calculate_e_kPijPfjj10vcd_paramsi,8043.33,5.349,0.667,72,192,1,32,16,1,7680,0,28,0,-1,,0,30620,14752
12551ca60cffa540,_Z22interpolate_g_dg_pos_kPfjS_S_S_S_jPKfS1_S1_jS1_jPKiji10vcd_params26smeminfo_interpolate_g_posii,29596.5,5.608,0.667,72,192,1,32,16,1,18432,0,31,0,-1,,0,489300,0
12551ca60ec45a00,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1313.76,6.185,0.333,1,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60ed8fdc0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1308.9,4.646,0.333,2,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60eef5280,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1312.67,4.697,0.333,3,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f04bd40,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1309.44,4.258,0.333,4,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f193280,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1306.08,4.619,0.333,5,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f2d87a0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1306.11,3.975,0.333,6,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f41dca0,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1305.98,4.114,0.333,7,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f563120,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1305.95,4.15,0.333,8,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
12551ca60f6a8500,_Z22interpolate_g_dg_neg_kPfS_jS_S_S_S_jPKfS1_S1_jS1_jPKijiiii10vcd_params26smeminfo_interpolate_g_negii,1305.73,4.309,0.333,9,1,1,32,16,1,21200,0,62,1,-1,,0,420,0
