# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 12587cfe3d830c41
# CUDA_DEVICE 0 GeForce GTX 480
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
125a3923fa283800,memcpyHtoD,13534.1,13887.1,,,,,,,,,,,0,0,28311552,0
125a3923fafe3ec0,memset32,483.52,15.143,1,25,3084,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,30020,0,0,5156,0,60783,0,0,190,0,0,582399,0,580687,0,29953,30888,988416,0,12107530,336553,0,0,1782552,16000,1782552,0,0,18471060,16252,1782552
125a3923fb05ab20,_Z15convert_input_kPfjPKtjji10vcd_params,913.408,4.784,1,73,193,1,32,16,1,6144,0,11,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,0,0,15036,29816,29840,29984,938,0,59936,0,0,0,0,0,1129629,15052,1124640,0,29880,15040,481280,0,28543612,639187,900528,0,1782552,927213,1782552,0,0,35984640,930849,1782552
125a3923fb20cec0,memset32,465.504,5.605,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,29520,0,0,4922,0,59088,0,0,0,0,0,563236,0,562248,0,29592,29514,944448,0,11951984,323209,0,0,1769472,15394,1769472,0,0,17964576,12593,1769472
125a3923fb27f2c0,memset32,462.336,3.62,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,0,0,7124040,0,0,0,0,14248080,0,0,0,0,0,29562,0,0,4928,0,59052,0,0,0,0,0,563660,0,561222,0,29538,29538,945216,0,11869422,323199,0,0,1769472,14423,1769472,0,0,17948160,15439,1769472
125a3923fb2f06a0,memset32,462.72,3.284,1,24,3072,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,29544,0,0,4927,0,59184,0,0,0,0,0,562883,0,561336,0,29544,29526,944832,0,11991676,323272,0,0,1769472,15431,1769472,0,0,17944512,15439,1769472
125a3923fb361c00,memset32,247.456,5.298,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,15003,0,0,2669,0,30992,0,0,211,0,0,298791,0,297705,0,15015,16074,514368,0,6042164,171893,0,0,888964,6517,888964,0,0,9474782,8307,888964
125a3923fb39e880,memset32,247.424,4.153,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,14996,0,0,2682,0,31015,0,0,212,0,0,298395,0,297203,0,15077,15996,511872,0,6056099,172313,0,0,888964,8275,888964,0,0,9487612,8259,888964
125a3923fb3db4c0,memset32,247.84,3.344,1,13,3076,1,192,1,1,0,0,4,0,-1,,0,277000496,40370552,0,0,0,277000496,40370552,0,0,0,0,0,0,14953,0,0,2672,0,30944,0,0,196,0,0,298040,0,297372,0,14988,16068,514176,0,6048167,171877,0,0,888964,8131,888964,0,0,9491596,8211,888964
125a3923fb4188e0,_Z22calculate_temp_green_kPfjS_S_S_jjj10vcd_paramsi,6244.9,4.468,0.667,73,193,1,32,16,1,5440,0,23,0,-1,,0,0,0,18870592,0,0,0,0,21279768,0,0,0,0,55776,44976,178566,100544,938,0,708668,0,0,49452,0,1988,6649259,53668,6663060,0,45072,15056,481792,0,138395964,4371880,3219512,0,2666892,2142342,2666892,0,0,197214304,2133475,2666892
